VALUE OF OWNER-OCCUPIED HOUSING, , , , , , , , , , , , , , , , , , 
"Less Than $20,000",0.20%,3.30%,0.37%,0.65%,0.43%,1.65%,1.01%,0.57%,0.94%,2.53%,0.22%,0.96%,1.54%,1.30%,3.95%,0.22%,1.10%,3.19%
"$20,000 to $39,999",0.29%,3.44%,0.61%,0.09%,0.21%,1.64%,1.05%,1.29%,1.22%,3.07%,0.72%,0.89%,2.37%,0.73%,8.09%,0.67%,0.52%,4.88%
"$40,000 to $59,999",0.71%,4.18%,0.58%,0.00%,0.55%,1.33%,0.97%,0.65%,0.28%,2.46%,0.47%,0.49%,4.28%,0.47%,15.75%,0.51%,0.75%,6.85%
"$60,000 to $79,999",0.29%,5.80%,0.68%,0.24%,0.47%,2.55%,0.81%,2.44%,0.69%,1.84%,0.39%,0.19%,6.01%,1.02%,21.06%,0.43%,0.44%,8.98%
"$80,000 to $99,999",0.61%,7.08%,0.45%,0.27%,0.36%,4.35%,0.75%,2.92%,1.51%,0.84%,0.44%,0.47%,8.10%,1.51%,22.61%,0.58%,0.66%,10.04%
"$100,000 to $149,999",0.65%,15.77%,1.18%,0.93%,0.69%,13.02%,2.27%,14.41%,7.78%,9.46%,2.06%,3.34%,17.60%,10.42%,18.59%,2.11%,4.39%,18.42%
"$150,000 to $199,999",0.51%,15.03%,1.15%,0.19%,0.64%,13.96%,3.25%,22.45%,22.62%,18.77%,3.93%,15.10%,17.24%,26.40%,5.83%,4.14%,9.16%,16.74%
"$200,000 to $299,999",2.74%,18.50%,5.08%,0.87%,2.44%,25.35%,8.54%,29.83%,46.64%,41.22%,21.67%,43.44%,17.45%,37.56%,2.80%,16.62%,16.86%,18.45%
"$300,000 to $399,999",6.02%,10.39%,8.57%,1.87%,3.93%,18.15%,13.85%,11.39%,13.55%,12.67%,26.91%,18.19%,8.82%,11.19%,0.56%,18.85%,21.21%,6.01%
"$400,000 to $499,999",7.86%,5.66%,14.43%,1.54%,7.61%,8.16%,17.33%,4.46%,3.08%,4.02%,16.84%,8.05%,5.33%,4.21%,0.18%,13.69%,15.30%,2.60%
"$500,000 to $749,999",34.32%,6.39%,40.22%,6.05%,32.57%,7.29%,29.11%,5.08%,1.24%,1.57%,15.94%,6.68%,6.16%,3.56%,0.27%,19.94%,18.07%,2.27%
"$750,000 to $999,999",24.79%,2.28%,15.35%,14.90%,25.48%,1.68%,10.25%,2.80%,0.26%,1.37%,4.45%,1.33%,2.60%,1.00%,0.14%,12.04%,6.14%,0.78%
"$1,000,000 or more",21.04%,2.18%,11.34%,72.39%,24.61%,0.87%,10.81%,1.70%,0.21%,0.20%,5.96%,0.87%,2.49%,0.64%,0.19%,10.21%,5.43%,0.83%
HOUSING UNITS BY YEAR STRUCTURE BUILT, , , , , , , , , , , , , , , , , , 
2010 and newer,0.23%,0.29%,0.21%,0.22%,0.14%,0.07%,0.18%,0.04%,0.15%,0.23%,0.16%,0.00%,0.40%,0.38%,0.09%,0.20%,0.35%,0.12%
2000 to 2009,5.28%,14.18%,5.21%,9.77%,6.31%,16.00%,5.57%,4.18%,4.59%,9.69%,6.38%,3.01%,17.92%,16.97%,3.46%,7.57%,17.94%,3.26%
1990 to 1999,4.61%,13.96%,10.53%,5.11%,4.29%,7.00%,3.54%,2.91%,4.55%,9.72%,3.94%,8.23%,10.87%,12.48%,2.56%,2.84%,17.91%,2.54%
1980 to 1989,10.95%,13.99%,20.28%,7.66%,5.30%,15.01%,4.48%,5.69%,9.63%,19.32%,5.29%,8.76%,13.01%,9.99%,2.05%,4.10%,20.00%,3.78%
1970 to 1979,14.12%,16.09%,32.44%,10.94%,7.11%,15.57%,7.10%,7.72%,8.31%,13.03%,7.28%,10.07%,13.66%,15.96%,4.50%,7.50%,13.96%,6.85%
1960 to 1969,4.61%,13.96%,10.53%,5.11%,4.29%,7.00%,3.54%,2.91%,4.55%,9.72%,3.94%,8.23%,10.87%,12.48%,2.56%,2.84%,17.91%,2.54%
1950 to 1959,23.30%,11.05%,9.86%,28.10%,9.41%,13.68%,14.17%,8.21%,9.68%,6.78%,7.15%,12.89%,16.55%,11.79%,13.10%,15.04%,7.48%,17.05%
1940 to 1949,15.34%,5.59%,1.25%,10.33%,10.60%,8.85%,10.85%,6.43%,7.66%,3.09%,6.02%,5.45%,6.36%,5.02%,12.94%,15.27%,3.78%,15.79%
1939 or Earlier,11.03%,13.68%,1.83%,14.03%,48.79%,11.63%,41.77%,59.11%,48.77%,33.01%,55.98%,41.90%,8.53%,14.65%,54.36%,34.64%,4.05%,40.09%
